route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A217,A,304,Ж.К. ДРУЖБА-2 - НИМ - Ж.К. ДРУЖБА-2,,3,,BE1E2D,FFFFFF,,,
A263,A,X1,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
A79,A,70,НСБАЛ ПО ОНКОЛОГИЯ - СЕЛО ПЛАНА - НСБАЛ ПО ОНКОЛОГИЯ,,3,,BE1E2D,FFFFFF,,,
A70,A,5,СЕЛО ДОЛНИ ЛОЗЕН - АВТОСТАНЦИЯ ГЕО МИЛЕВ - СЕЛО ДОЛНИ ЛОЗЕН,,3,,BE1E2D,FFFFFF,,,
A106,A,68,Метростанция Витоша - КВ. СИМЕОНОВО - Метростанция Витоша,,3,,BE1E2D,FFFFFF,,,
A246,A,109,МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - Ж.К. ЛОЗЕНЕЦ - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН,,3,,BE1E2D,FFFFFF,,,
A108,A,260,Кв.Горна баня - НЦ ПО РЕХАБИЛИТАЦИЯ - Кв.Горна баня,,3,,BE1E2D,FFFFFF,,,
A174,A,42A,Автостанция Банкя - Края на кв. Михайлово - Автостанция Банкя,,3,,BE1E2D,FFFFFF,,,
A25,A,63,ЗЛАТНИ МОСТОВЕ - БУЛ. ЦАР БОРИС ІІІ - ЗЛАТНИ МОСТОВЕ,,3,,BE1E2D,FFFFFF,,,
A48,A,26,Ж. К. ОБЕЛЯ 1 - НАЧАЛО КВ. ГНИЛЯНЕ - Ж. К. ОБЕЛЯ 1,,3,,BE1E2D,FFFFFF,,,
A251,A,X10,УЛ. Т. КАБЛЕШКОВ - Ж.К. МЛАДОСТ-1 - УЛ. Т. КАБЛЕШКОВ,,3,,BE1E2D,FFFFFF,,,
A110,A,90,Град Бухово - АП Малашевци - Град Бухово,,3,,BE1E2D,FFFFFF,,,
M2,A,M2,Бизнес парк - Витоша - Бизнес парк,,1,,1C75BC,FFFFFF,,,
A125,A,5TM,Автостанция Княжево - Бул. Братя Бъкстон - Автостанция Княжево,,3,,BE1E2D,FFFFFF,,,
A27,A,81,Ул.Добри Жотев - Кв. Иваняне - Ул.Добри Жотев,,3,,BE1E2D,FFFFFF,,,
TB43,A,288,АВТОСТАНЦИЯ ГЕО МИЛЕВ - ЗООПАРКА - АВТОСТАНЦИЯ ГЕО МИЛЕВ,,11,,27AAE1,FFFFFF,,,
